biomarkerID,biomarkerName,biomarkerType,curated_disease_name,biomarkerUsage,sample,curated_breed_name,sex,age,weight,cellLine,organism,gene,traitAssociation,roc,km,cox,conclusion,pmid
718,asparaginyl-aspartic acid,metabolite,Cannabidiol,identification,,,both,9months-4years,18.2±3.4 kg,,9615,,,AUROC = 0.94; P = 0.003,,,Biomarker analysis based on receiver operating characteristic (ROC) curves was performed to identify biomarker candidates (area under ROC ≥ 0.90) of the effects of CBD supplementation.,34336977
719,isoferulic acid,metabolite,Cannabidiol,identification,,,both,9months-4years,18.2±3.4 kg,,9615,,,AUROC = 0.94; P < 0.001,,,Biomarker analysis based on receiver operating characteristic (ROC) curves was performed to identify biomarker candidates (area under ROC ≥ 0.90) of the effects of CBD supplementation.,34336977
2411,Meprin A subunit alpha,protein,intestinal disorder,identification,collected from 11 dogs with CCE and 14 healthy staff-owned dogs ,"German Boxer,Labrador Retriever,Bichon Frise,Border Collie,Irish Setter,Lakeland Terrier,Miniature Schnauzer,Pug,Weimaraner","The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,,9615,,,,,,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases",34958965
720,7-carboxy-7-carbaguanine,metabolite,Cannabidiol,identification,,,both,9months-4years,18.2±3.4 kg,,9615,,,AUROC = 0.92; P = 0.001,,,Biomarker analysis based on receiver operating characteristic (ROC) curves was performed to identify biomarker candidates (area under ROC ≥ 0.90) of the effects of CBD supplementation.,34336977
721,3-(4-hydroxyphenyl)pyruvate,metabolite,Cannabidiol,identification,,,both,9months-4years,18.2±3.4 kg,,9615,,,AUROC = 0.91; P = 0.004,,,Biomarker analysis based on receiver operating characteristic (ROC) curves was performed to identify biomarker candidates (area under ROC ≥ 0.90) of the effects of CBD supplementation.,34336977
722,aspartyl-threonine,metabolite,Cannabidiol,identification,,,both,9months-4years,18.2±3.4 kg,,9615,,,AUROC = 0.91; P = 0.005,,,Biomarker analysis based on receiver operating characteristic (ROC) curves was performed to identify biomarker candidates (area under ROC ≥ 0.90) of the effects of CBD supplementation.,34336977
723,isoleucyl-alanine,metabolite,Cannabidiol,identification,,,both,9months-4years,18.2±3.4 kg,,9615,,,AUROC = 0.91; P = 0.007,,,Biomarker analysis based on receiver operating characteristic (ROC) curves was performed to identify biomarker candidates (area under ROC ≥ 0.90) of the effects of CBD supplementation.,34336977
724,Glucose,metabolite,Cannabidiol,identification,,,both,9months-4years,18.2±3.4 kg,,9615,,,AUROC = 0.91; P = 0.020,,,Biomarker analysis based on receiver operating characteristic (ROC) curves was performed to identify biomarker candidates (area under ROC ≥ 0.90) of the effects of CBD supplementation.,34336977
1016,miR-143,miRNA,melanoma,"identification,prognosis",tumor cell lines,,,,,,9615,,,,,,"Therefore, these miRNAs can be an incredible biomarker candidate to identify metastatic melanoma and facilitate a better prognosis.",34273912
1017,miR-221,miRNA,melanoma,"identification,prognosis",tumor cell lines,,,,,,9615,,,,,,"Therefore, these miRNAs can be an incredible biomarker candidate to identify metastatic melanoma and facilitate a better prognosis",34273912
2412,NGAL,protein,acute kidney failure,diagnosis,,,,,,,9615,,,,,,"For the assay investigated, only NGAL performed well overall, with acceptable precision and accuracy of measurement",34261014
180,BCL2L15,gene,morbid obesity,diagnosis ,"This study comprised a sample of 12 privately-owned Miniature Dachshund, which were divided into two groups (obese and control) based on body condition scores (BCS)",Miniature Dachshund,,5.75±0.60years,,,9615,,,,,,"This study revealed significant differences in the gene expression of BCL2L15, FOLH1, ALAS2, and  hemoglobin subunits such as LOC100855540 between normal weight and mild to moderate obese dogs, which indicate that these genes may prevent the obesity in dogs and be potentially useful for diagnosis of mild to  moderate obesity",34258471
181,FOLH1,gene,morbid obesity,diagnosis ,"This study comprised a sample of 12 privately-owned Miniature Dachshund, which were divided into two groups (obese and control) based on body condition scores (BCS)",Miniature Dachshund,,5.75±0.60years,,,9615,,,,,,"This study revealed significant differences in the gene expression of BCL2L15, FOLH1, ALAS2, and  hemoglobin subunits such as LOC100855540 between normal weight and mild to moderate obese dogs, which indicate that these genes may prevent the obesity in dogs and be potentially useful for diagnosis of mild to  moderate obesity",34258471
2413,Cadherin related family member 2,protein,intestinal disorder,identification,collected from 11 dogs with CCE and 14 healthy staff-owned dogs ,"German Boxer,Labrador Retriever,Bichon Frise,Border Collie,Irish Setter,Lakeland Terrier,Miniature Schnauzer,Pug,Weimaraner","The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,,9615,,,,,,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases",34958965
182,ALAS2,gene,morbid obesity,diagnosis ,"This study comprised a sample of 12 privately-owned Miniature Dachshund, which were divided into two groups (obese and control) based on body condition scores (BCS)",Miniature Dachshund,,5.75±0.60years,,,9615,,,,,,"This study revealed significant differences in the gene expression of BCL2L15, FOLH1, ALAS2, and  hemoglobin subunits such as LOC100855540 between normal weight and mild to moderate obese dogs, which indicate that these genes may prevent the obesity in dogs and be potentially useful for diagnosis of mild to  moderate obesity",34258471
183,LOC100855540,gene,morbid obesity,diagnosis ,"This study comprised a sample of 12 privately-owned Miniature Dachshund, which were divided into two groups (obese and control) based on body condition scores (BCS)",Miniature Dachshund,,5.75±0.60years,,,9615,,,,,,"This study revealed significant differences in the gene expression of BCL2L15, FOLH1, ALAS2, and  hemoglobin subunits such as LOC100855540 between normal weight and mild to moderate obese dogs, which indicate that these genes may prevent the obesity in dogs and be potentially useful for diagnosis of mild to  moderate obesity",34258471
2414,serum cPLI,protein,acute pancreatitis,monitoring,,,,9.5 ± 3.1 years,,,9615,,,,,,These results suggest that serum cPLI and potentially CRP concentrations could be used as objective biomarkers for disease progression and monitoring management success in dogs with acute pancreatitis. Additional studies involving larger numbers of dogs are warranted to evaluate the impact of these findings on the management of dogs with acute pancreatitis.,34250650
2415,CRP,protein,acute pancreatitis,monitoring,,,,9.5 ± 3.1 years,,,9615,,,,,,These results suggest that serum cPLI and potentially CRP concentrations could be used as objective biomarkers for disease progression and monitoring management success in dogs with acute pancreatitis. Additional studies involving larger numbers of dogs are warranted to evaluate the impact of these findings on the management of dogs with acute pancreatitis.,34250650
2416,SOD,protein,babesiosis,prognosis,Fifteen dogs with babesiosis (group 1) aged 2-7 years (mean 4.13) and seven healthy dogs (group 2) aged 1-5 years (mean 3.29) were studied prospectively between March and June 2020,,,2-7years,,,9615,,,,,,antioxidant biomarker and copper and zinc concentrations could be used as indicators of disease severity and prognostic markers,34250301
2417,CAT,protein,babesiosis,prognosis,Fifteen dogs with babesiosis (group 1) aged 2-7 years (mean 4.13) and seven healthy dogs (group 2) aged 1-5 years (mean 3.29) were studied prospectively between March and June 2020,,,2-7years,,,9615,,,,,,antioxidant biomarker and copper and zinc concentrations could be used as indicators of disease severity and prognostic markers,34250301
725,FSSA,metabolite,diabetes mellitus,"prediction,diagnosis",,,both,1-2years,,,9615,,,,,,The elevated FSSA can serve as a predictive and diagnostic biomarker in alloxan-induced T1DM with a co-existing impaired glucose homeostasis and hyperglycaemia,34124592
2418,Neurofilament light chain,protein,meningoencephalitis,diagnosis,"included 26 client-owned healthy dogs, 10 normal Beagle dogs, and 38 client-owned dogs with MUE.","English Beagle,Labrador Retriever,Miniature Poodle,Bichon Frise,Japanese Shiba Inu,Cardigan Welsh Corgi,Yorkshire Terrier,Maltese,Pomeranian,Miniature Schnauzer,Shih Tzu(Chrysanthemum Dog),Yorkshire Terrier,Chihuahua,Pomeranian,Miniature Pinscher,Toy Poodle,Japanese Chin(Japanese Spaniel)",both,3-7.4 years,2.2-4.2kg,,9615,,,**serum: AUC 0.99 sensitivity 89.19% specificity  96.97% ** CSF NfL concentrations AUC 0.95 sensitivity 90% specificity  100%**,,,Neurofilament light chain is a potential biomarker for diagnosing MUE and evaluating response to treatment.,34114244
2419,Immunoglobulin heavy chain variable region,protein,intestinal disorder,identification,collected from 11 dogs with CCE and 14 healthy staff-owned dogs ,"German Boxer,Labrador Retriever,Bichon Frise,Border Collie,Irish Setter,Lakeland Terrier,Miniature Schnauzer,Pug,Weimaraner","The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,,9615,,,,,,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases",34958965
2420,Cerebrospinal fluid VEGF,protein,central nervous system cancer|meningoencephalitis,"prognosis,monitoring ",,,both,0.3-15.0years,2.6-56.6kg,,9615,,,,,,Cerebrospinal fluid VEGF concentrations may serve as a marker of neoplastic and inflammatory CNS disorders relative to other conditions.,34105831
2421,IGFBP2,protein,mucopolysaccharidosis type 1,monitoring,,,,,,,9615,,,,,,"this study demonstrates that the determination of the CSF levels of NP1, Ch3L1, CD14, IGFBP2, possibly also of other upregulated proteins identified here could be helpful for assessing the course of the disease in infants having received gene therapy. Further validation of these biomarker candidates, e.g., by investigating the correlation between CSF and plasma/serum levels in MPS patients, may offer a less invasive means of routine monitoring.",34054689
2422,Canine prostate specific esterase,protein,benign prostatic hyperplasia,prediction,"Of the 79 dogs included at baseline, owners of 77 dogs (97%) were reached for an interview, and 22 were available for a follow-up examination",,,,,,9615,,,,,,"The results support the use of CPSE for estimating present and future prostatic size in dogs ≥4 years, and the clinical usefulness of prostatic size for predicting development of clinical signs of prostatic disease in the dog.",33902583
1018,cfa-miR-130b,miRNA,"mitral valve prolapse, myxomatous 3",therapeutic,,"English Beagle,Maltese,Shih Tzu(Chrysanthemum Dog),Pomeranian,French Bulldog,Poodle",both,12.83 ± 2.01years,,,9615,,,,,,This pilot study demonstrates that the microRNAs identified in this study could be possible candidates for novel biomarker or therapeutic target related to cardiac hypertrophy in dogs,33898546
2423,Maltase-glucoamylase,protein,intestinal disorder,identification,collected from 11 dogs with CCE and 14 healthy staff-owned dogs ,"German Boxer,Labrador Retriever,Bichon Frise,Border Collie,Irish Setter,Lakeland Terrier,Miniature Schnauzer,Pug,Weimaraner","The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,,9615,,,,,,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases",34958965
2424,albumin,protein,pyometritis,diagnosis,Seven client owned female dogs with diagnosis of opened pyometra were included,"English Beagle,Maltese,Yorkshire Terrier,Shih Tzu(Chrysanthemum Dog)",F,6-15 years,,,9615,,,,,,"In addition, the concentration of APPs, including the C-reactive protein (CRP), serum amyloid A (SAA), and haptoglobin (Hp), were also elevated in dogs with pyometra. The present study provides fundamental data for inflammatory indicators of canine pyometra.",33732740
2425,elevated α2-,protein,pyometritis,diagnosis,Seven client owned female dogs with diagnosis of opened pyometra were included,"English Beagle,Maltese,Yorkshire Terrier,Shih Tzu(Chrysanthemum Dog)",F,6-15 years,,,9615,,,,,,"In addition, the concentration of APPs, including the C-reactive protein (CRP), serum amyloid A (SAA), and haptoglobin (Hp), were also elevated in dogs with pyometra. The present study provides fundamental data for inflammatory indicators of canine pyometra.",33732740
2426,Selenium binding protein 1 ,protein,intestinal disorder,identification,collected from 11 dogs with CCE and 14 healthy staff-owned dogs ,"German Boxer,Labrador Retriever,Bichon Frise,Border Collie,Irish Setter,Lakeland Terrier,Miniature Schnauzer,Pug,Weimaraner","The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,,9615,,,,,,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases",34958965
2427,β-globulin,protein,pyometritis,diagnosis,Seven client owned female dogs with diagnosis of opened pyometra were included,"English Beagle,Maltese,Yorkshire Terrier,Shih Tzu(Chrysanthemum Dog)",F,6-15 years,,,9615,,,,,,"In addition, the concentration of APPs, including the C-reactive protein (CRP), serum amyloid A (SAA), and haptoglobin (Hp), were also elevated in dogs with pyometra. The present study provides fundamental data for inflammatory indicators of canine pyometra.",33732740
2415,CRP,protein,pyometritis,diagnosis,Seven client owned female dogs with diagnosis of opened pyometra were included,"English Beagle,Maltese,Yorkshire Terrier,Shih Tzu(Chrysanthemum Dog)",F,6-15 years,,,9615,,,,,,"In addition, the concentration of APPs, including the C-reactive protein (CRP), serum amyloid A (SAA), and haptoglobin (Hp), were also elevated in dogs with pyometra. The present study provides fundamental data for inflammatory indicators of canine pyometra.",33732740
2428,SAA,protein,pyometritis,diagnosis,Seven client owned female dogs with diagnosis of opened pyometra were included,"English Beagle,Maltese,Yorkshire Terrier,Shih Tzu(Chrysanthemum Dog)",F,6-15 years,,,9615,,,,,,"In addition, the concentration of APPs, including the C-reactive protein (CRP), serum amyloid A (SAA), and haptoglobin (Hp), were also elevated in dogs with pyometra. The present study provides fundamental data for inflammatory indicators of canine pyometra.",33732740
2429,haptoglobin,protein,pyometritis,diagnosis,Seven client owned female dogs with diagnosis of opened pyometra were included,"English Beagle,Maltese,Yorkshire Terrier,Shih Tzu(Chrysanthemum Dog)",F,6-15 years,,,9615,,,,,,"In addition, the concentration of APPs, including the C-reactive protein (CRP), serum amyloid A (SAA), and haptoglobin (Hp), were also elevated in dogs with pyometra. The present study provides fundamental data for inflammatory indicators of canine pyometra.",33732740
2430,uKIM-1,protein,Weil's disease,diagnosis,"Dogs were divided into two groups: Group 1 consisted of 25 (15 male, 10 female) dogs naturally infected with Leptospira spp. and Group 2 of 5 healthy dogs (2 male, 3 female) ",,both,,,,9615,,,Sensitivity:88% Specificity:100%,,,Measurement of KIM-1 in the urine of canine patients was able to detect naturally occurring acute and  subacute leptospirosis accompanied by tubular injury in early non azotemic infections,33706047
2431,NT-proANP,protein,"mitral valve prolapse, myxomatous 3",diagnosis,"Healthy dogs constituted the control group (n=36), whereas dogs diagnosed with MMVD constituted the MMVD group (n=69)",,,8-14years,3.3-6.5kg,,9615,,,AUC:0.72;Sensitivity:80% P<0.05,,,"In conclusion, plasma NT-proANP , NT-proBNP , and ANP concentrations can increase with LA enlargement with or without clinical signs in dogs with MMVD. Among the four CBs, plasma NT-proANP and NT-proBNP concentrations had comparable  discriminatory abilities to detect cardiac dilatation and CHF in dogs with MMVD.",33551383
2432,NT-proBNP,protein,"mitral valve prolapse, myxomatous 3",diagnosis,"Healthy dogs constituted the control group (n=36), whereas dogs diagnosed with MMVD constituted the MMVD group (n=69)",,,8-14years,3.3-6.5kg,,9615,,,AUC:0.75;Sensitivity:80% P<0.05,,,"In conclusion, plasma NT-proANP , NT-proBNP , and ANP concentrations can increase with LA enlargement with or without clinical signs in dogs with MMVD. Among the four CBs, plasma NT-proANP and NT-proBNP concentrations had comparable  discriminatory abilities to detect cardiac dilatation and CHF in dogs with MMVD.",33551383
726,sHA,metabolite,cognitive disorder,diagnosis,"Twenty dogs with EHPSS (median age, 7.5 months; age range,2–74 months; median bodyweight, 3.8 kg; bodyweight range, 1.5– 8.4 kg)","Maltese,Dachshund,Chihuahua,Shih Tzu(Chrysanthemum Dog),Miniature Pinscher,Standard Schnauzer,Border Collie,Havanese,Yorkshire Terrier,West Highland White Terrier",both,2–74 months,1.5–8.4 kg,,9615,,,,,,"In dogs with EHPSS, sHA is a promising non invasive biomarker of liver perfusion that could help to determine the integrity of EHPSS closure after surgical attenuation",33468304
1858,Cell-free DNA,other,neoplasm,diagnosis,,,,,,,9615,,,,,,"Thus, our study shows that ctDNA is detectable in the plasma of cancer-affected dogs and is a promising biomarker for diagnosis and clinical follow-up. ctDNA detection appears to be useful in comparative oncology research due to growing interest in the study of natural canine tumors and exploration of new therapies",33441840
1859,SaCh,other,Parvoviridae infectious disease,diagnosis,A group of dogs with CP (n = 30) was made,"Rottweiler,Anatolian Shepherd Dog,Golden Retriever,Labrador Retriever",both,,9.6-23.5kg,,9615,,,,,,"This is the first report in which Ch is measured in saliva of dogs and  based in the results of this study, salivary Ch could be potentially used as biomarker of the severity of CP",33385977
2433,Ectonucleotide pyrophosphatase/phosphodiesterase 3,protein,intestinal disorder,identification,collected from 11 dogs with CCE and 14 healthy staff-owned dogs ,"German Boxer,Labrador Retriever,Bichon Frise,Border Collie,Irish Setter,Lakeland Terrier,Miniature Schnauzer,Pug,Weimaraner","The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,,9615,,,,,,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases",34958965
727,CSF lactate,metabolite,central nervous system disorder,"diagnosis, monitoring ",A total of 49 dogs were included in the study,"Labrador Retriever,Chihuahua,Maltese,Dachshund,Jack Russell Terrier,Siberian Husky,Golden Retriever,American Bulldog,Toy Poodle,Shih Tzu(Chrysanthemum Dog),American Eskimo Dog,Basenji(African Barkless Dog),Bernese Mountain Dog,Cane Corso(Italian Mastiff),Chinese Crested,French Bulldog,Italian Greyhound,Miniature Schnauzer,Miniature Poodle,American Pit Bull Terrier,Poodle,Standard Schnauzer,Pomeranian,Weimaraner,Yorkshire Terrier",both,6 months-14 years,1.7-54.7 kg,,9615,,,,,,Cerebrospinal fluid lactate can be used as a biomarker in clinical settings as it can be measured via a commercially available lactometer immediately after collection without the need for special instrumentation or laboratory personnel.,33336823
2434,CILP1,protein,"mitral valve prolapse, myxomatous 3",diagnosis,,,both,,,,9615,,,"AUC：0.921 sensitivity 51.9%, specifcity 100%  P=0.001",,,"CILP1 can be an indicator of cardiac remodeling in canines with MMVD and therefore, can be used as an MMVD biomarker",36882760
2435,Cys-C,protein,"mitral valve prolapse, myxomatous 3",prognosis,"50 dogs with MMVD were included in the study: 9 males, 19 neutered males, 4 females, and 18 spayed females","Chihuahua,Cavalier King Charles Spaniel,Miniature Schnauzer,Pomeranian,Shetland Shepherd Dog,Shih Tzu(Chrysanthemum Dog),Yorkshire Terrier,Papillon(Continental Toy Spaniel),English Beagle",both,3.0-15.0years,2.08-14.04kg,,9615,,,,,Cys-C>0.4 HR 5.086 P<0.01,"High serum Cys-C concentrations were associated with a worse prognosis of MMVD. Furthermore, serum Cys-C could be a predictor of MMVD prognosis even in dogs with normal blood creatinine concentration.",36852471
2436,C-terminal tensin-like,protein,squamous cell carcinoma,therapeutic,,"Yorkshire Terrier,German Boxer,Basset Hound,West Highland White Terrier,Poodle,Cao de Castro Laboreiro(Portuguese Cattle Dog),Cocker Spaniel,Border Collie,Dalmatian,Golden Retriever,Siberian Husky,Labrador Retriever,Portuguese Pointer,American Pit Bull Terrier,Spanish Hound,Giant Schnauzer,Estrela Mountain Dog,Irish Setter,Chinese Shar-Pei",both,8.9 ± 3.6 years.,,,9615,,,,,,"therefore revealing CTEN’s potential as a biomarker and a therapeutic target for canine SCC, as well as its possible value in histological grading of invasive fronts",36851390
2437,C-reactive protein,protein,lymphoma,prediction,,,both,9.72 ± 4.27years,,,9615,,,AUC：0.85;P<0.001,,,Serum CRP concentrations can assist clinical decision-making on the WHO stage in lymphoma dogs in clinical applications,36718344
2438,thrombomodulin,protein,urolithiasis,diagnosis,,,,,,,9615,,,,,,"In this study, hypercalciuric CaOx dogs showed increased level of urinary proteins, including thrombomodulin, which may be used as candidates for urinary tract injury and lead to an enhanced understanding of the pathophysiology of CaOx urolithiasis in dogs.",36718335
2439,matrix metalloproteinase 19,protein,mucopolysaccharidosis type 2,therapeutic,,,both,,,,9615,,,,,,"Elevated expression of three biomarker candidates, matrix metalloproteinase 19, inter-alpha-trypsin inhibitor heavy-chain 3 and alpha-1-microglobulin, was confirmed in MPS I cartilage, and serum abundance of these molecules was found to correlate with MRI and histological degenerative grades. The candidate biomarkers identified have the potential to improve patient care by facilitating minimally-invasive, specific assessment of joint disease progression and response to therapeutic intervention",36709534
2440,inter-alpha-trypsin inhibitor heavy-chain 3,protein,mucopolysaccharidosis type 2,therapeutic,,,both,,,,9615,,,,,,"Elevated expression of three biomarker candidates, matrix metalloproteinase 19, inter-alpha-trypsin inhibitor heavy-chain 3 and alpha-1-microglobulin, was confirmed in MPS I cartilage, and serum abundance of these molecules was found to correlate with MRI and histological degenerative grades. The candidate biomarkers identified have the potential to improve patient care by facilitating minimally-invasive, specific assessment of joint disease progression and response to therapeutic intervention",36709534
2441,alpha-1-microglobulin,protein,mucopolysaccharidosis type 2,therapeutic,,,both,,,,9615,,,,,,"Elevated expression of three biomarker candidates, matrix metalloproteinase 19, inter-alpha-trypsin inhibitor heavy-chain 3 and alpha-1-microglobulin, was confirmed in MPS I cartilage, and serum abundance of these molecules was found to correlate with MRI and histological degenerative grades. The candidate biomarkers identified have the potential to improve patient care by facilitating minimally-invasive, specific assessment of joint disease progression and response to therapeutic intervention",36709534
2442,Osteopontin,protein,meningioma,therapeutic,,"German Shepherd Dog,German Boxer,Bearded Collie,Boston Terrier,Rottweiler,German Wire-Haired Pointer,Belgian Shepherd Dog,Golden Retriever,Maltese,Yorkshire Terrier,Bavarian Mountain Hound,Belgian Tervuren,Havanese",both,5-16years,2.6-46kg,,9615,,,,,,"OPN may be a valuable therapeutic target in canine meningioma. Secondly, OPN may be used as a post-surgical predictor of recurrence, as a negative correlation of OPN labelling with tissue invasion was found in this population",36706466
2443,Cadherin 1,protein,intestinal disorder,identification,collected from 11 dogs with CCE and 14 healthy staff-owned dogs ,"German Boxer,Labrador Retriever,Bichon Frise,Border Collie,Irish Setter,Lakeland Terrier,Miniature Schnauzer,Pug,Weimaraner","The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,,9615,,,,,,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases",34958965
2444,Interleukin-6,protein,breast neoplasm,diagnosis,,,F,10.2±5.6years,14.2±6.04 kg,,9615,,,,,,The results of this study indicated that changes of IL-6 and IL-8 in the tumor microenvironments were closely related to the diseases status and may be used as a potential diagnostic or biomarker in canine mammary gland tumors,36693957
2445,Interleukin-8,protein,breast neoplasm,diagnosis,,,F,10.2±5.6years,14.2±6.04 kg,,9615,,,,,,The results of this study indicated that changes of IL-6 and IL-8 in the tumor microenvironments were closely related to the diseases status and may be used as a potential diagnostic or biomarker in canine mammary gland tumors,36693957
2446,CPSE,protein,benign prostatic hyperplasia,therapeutic,,English Beagle,M,,15.50±4.09 kg,,9615,,,,,,CPSE is a potential biomarker to assess the response to PAO in the canine prostate,36632152
2447,Carboxyhemoglobin,protein,hemolytic anemia,"diagnosis,monitoring",,,,,,,9615,,,AUC 0.997 ,,,"Carboxyhemoglobin proved an excellent predictor of HA in dogs and might constitute a useful, ancillary tool for diagnosing and monitoring hemolytic anemias",36571460
2448,Chymase,protein,patent ductus arteriosus,prediction,,"Pomeranian,Toy Poodle,Maltese,Bichon Frise",both,59–73 days,0.59 ± 0.23 kg,,9615,,,,,,"Therefore, plasma chymase activity may be useful as a novel predictor for understanding the hemodynamics of PDA in veterinary medicine.",36548843
2449,FKBP4,protein,melanoma|squamous cell carcinoma,"diagnosis, prognosis,prediction","Te total of 67 serum samples were collected from the following: 5 EOM, 28 LOM, 10 LOSCC, 12 BN (age  range: 7–14 years) and 5 dogs with PD (age range: 7–13 years); and samples representing normal oral health were  gathered from 7 healthy dogs (CTRL) (range: 7–8 years) (Table 2)",,,,,,9615,,,,,,"FKBP4, ESRRA, IGSF10 and ABCB5 might be potential biomarkers for diagnosis, prognosis and metastasis prediction. ",36517562
2450,ESRRA,protein,melanoma|squamous cell carcinoma,"diagnosis, prognosis,prediction","Te total of 67 serum samples were collected from the following: 5 EOM, 28 LOM, 10 LOSCC, 12 BN (age  range: 7–14 years) and 5 dogs with PD (age range: 7–13 years); and samples representing normal oral health were  gathered from 7 healthy dogs (CTRL) (range: 7–8 years) (Table 2)",,,,,,9615,,,,,,"FKBP4, ESRRA, IGSF10 and ABCB5 might be potential biomarkers for diagnosis, prognosis and metastasis prediction. ",36517562
